Team Name,Team ID,Team Name Link,League Code,League,Region
New York City FC,17606,new-york-city-fc,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
New York Red Bulls,190,new-york-red-bulls,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Orlando City SC,12011,orlando-city-sc,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Pachuca,234,pachuca,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Philadelphia Union,10739,philadelphia-union,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Portland Timbers,9723,portland-timbers,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Puebla,231,puebla,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Pumas UNAM,233,pumas-unam,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Querétaro,222,queretaro,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Real Salt Lake,4771,real-salt-lake,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
San Jose Earthquakes,191,san-jose-earthquakes,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Santos,225,santos,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Seattle Sounders FC,9726,seattle-sounders-fc,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Sporting Kansas City,186,sporting-kansas-city,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
St. Louis CITY SC,21812,st-louis-city-sc,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Tigres UANL,232,tigres-uanl,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Tijuana,10125,tijuana,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Toluca,223,toluca,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Toronto FC,7318,toronto-fc,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Vancouver Whitecaps,9727,vancouver-whitecaps,concacaf.leagues.cup,Leagues Cup,"USA, Mexico & CONCACAF"
Academia Puerto Cabello,18995,academia-puerto-cabello,conmebol.libertadores,CONMEBOL Libertadores,South America
Alianza Lima,2680,alianza-lima,conmebol.libertadores,CONMEBOL Libertadores,South America
Always Ready,19425,always-ready,conmebol.libertadores,CONMEBOL Libertadores,South America
Atlético Junior,4815,atletico-junior,conmebol.libertadores,CONMEBOL Libertadores,South America
Atlético Nacional,5264,atletico-nacional,conmebol.libertadores,CONMEBOL Libertadores,South America
Atlético-MG,7632,atletico-mg,conmebol.libertadores,CONMEBOL Libertadores,South America
Aurora,6046,aurora,conmebol.libertadores,CONMEBOL Libertadores,South America
Barcelona SC,2686,barcelona-sc,conmebol.libertadores,CONMEBOL Libertadores,South America
Bolívar,2681,bolivar,conmebol.libertadores,CONMEBOL Libertadores,South America
Botafogo,6086,botafogo,conmebol.libertadores,CONMEBOL Libertadores,South America
Caracas FC,4811,caracas-fc,conmebol.libertadores,CONMEBOL Libertadores,South America
Cerro Porteño,2671,cerro-porteno,conmebol.libertadores,CONMEBOL Libertadores,South America
Cobresal,4133,cobresal,conmebol.libertadores,CONMEBOL Libertadores,South America
Colo Colo,2688,colo-colo,conmebol.libertadores,CONMEBOL Libertadores,South America
Deportivo Táchira,4818,deportivo-tachira,conmebol.libertadores,CONMEBOL Libertadores,South America
El Nacional,882,el-nacional,conmebol.libertadores,CONMEBOL Libertadores,South America
Estudiantes de La Plata,8,estudiantes-de-la-plata,conmebol.libertadores,CONMEBOL Libertadores,South America
Flamengo,819,flamengo,conmebol.libertadores,CONMEBOL Libertadores,South America
Fluminense,3445,fluminense,conmebol.libertadores,CONMEBOL Libertadores,South America
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,conmebol.libertadores,CONMEBOL Libertadores,South America
Grêmio,6273,gremio,conmebol.libertadores,CONMEBOL Libertadores,South America
Huachipato,4134,huachipato,conmebol.libertadores,CONMEBOL Libertadores,South America
Independiente del Valle,17086,independiente-del-valle,conmebol.libertadores,CONMEBOL Libertadores,South America
Libertad,2670,libertad,conmebol.libertadores,CONMEBOL Libertadores,South America
Liga de Quito,4816,liga-de-quito,conmebol.libertadores,CONMEBOL Libertadores,South America
Liverpool,5492,liverpool,conmebol.libertadores,CONMEBOL Libertadores,South America
Millonarios,5484,millonarios,conmebol.libertadores,CONMEBOL Libertadores,South America
Nacional,2684,nacional,conmebol.libertadores,CONMEBOL Libertadores,South America
Nacional,5584,nacional,conmebol.libertadores,CONMEBOL Libertadores,South America
Palestino,4422,palestino,conmebol.libertadores,CONMEBOL Libertadores,South America
Palmeiras,2029,palmeiras,conmebol.libertadores,CONMEBOL Libertadores,South America
Peñarol,2683,penarol,conmebol.libertadores,CONMEBOL Libertadores,South America
Portuguesa,6762,portuguesa,conmebol.libertadores,CONMEBOL Libertadores,South America
Red Bull Bragantino,6079,red-bull-bragantino,conmebol.libertadores,CONMEBOL Libertadores,South America
River Plate,16,river-plate,conmebol.libertadores,CONMEBOL Libertadores,South America
Rosario Central,17,rosario-central,conmebol.libertadores,CONMEBOL Libertadores,South America
San Lorenzo,18,san-lorenzo,conmebol.libertadores,CONMEBOL Libertadores,South America
Sporting Cristal,2673,sporting-cristal,conmebol.libertadores,CONMEBOL Libertadores,South America
São Paulo,2026,sao-paulo,conmebol.libertadores,CONMEBOL Libertadores,South America
Talleres (Córdoba),19,talleres-cordoba,conmebol.libertadores,CONMEBOL Libertadores,South America
The Strongest,2687,the-strongest,conmebol.libertadores,CONMEBOL Libertadores,South America
Trinidense,7466,trinidense,conmebol.libertadores,CONMEBOL Libertadores,South America
Universitario,2685,universitario,conmebol.libertadores,CONMEBOL Libertadores,South America
Águilas Doradas,9762,aguilas-doradas,conmebol.libertadores,CONMEBOL Libertadores,South America
Alianza FC,9761,alianza-fc,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Always Ready,19425,always-ready,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Argentinos Juniors,3,argentinos-juniors,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Athletico-PR,3458,athletico-pr,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Belgrano (Córdoba),4,belgrano-cordoba,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Boca Juniors,5,boca-juniors,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Coquimbo Unido,8186,coquimbo-unido,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Corinthians,874,corinthians,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Cruzeiro,2022,cruzeiro,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Cuiabá,17313,cuiaba,conmebol.sudamericana,CONMEBOL Sudamericana,South America
César Vallejo,5567,cesar-vallejo,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Danubio,4817,danubio,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Defensa y Justicia,8950,defensa-y-justicia,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Delfín,1011,delfin,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Deportivo Garcilaso,21819,deportivo-garcilaso,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Deportivo Rayo Zuliano,21850,deportivo-rayo-zuliano,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Fortaleza,6272,fortaleza,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Independiente Medellín,2690,independiente-medellin,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Internacional,1936,internacional,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Lanús,12,lanus,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Metropolitanos FC,13481,metropolitanos-fc,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Nacional,5584,nacional,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Nacional Potosí,10311,nacional-potosi,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Racing,9903,racing,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Racing Club,15,racing-club,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Real Tomayapo,20890,real-tomayapo,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Red Bull Bragantino,6079,red-bull-bragantino,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Sportivo Ameliano,21313,sportivo-ameliano,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Sportivo Luqueño,5583,sportivo-luqueno,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Trinidense,7466,trinidense,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Universidad Católica (Quito),9283,universidad-catolica-quito,conmebol.sudamericana,CONMEBOL Sudamericana,South America
Unión La Calera,10144,union-la-calera,conmebol.sudamericana,CONMEBOL Sudamericana,South America
AD Guanacasteca,20982,ad-guanacasteca,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Alajuelense,2057,alajuelense,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Cartagines,7239,cartagines,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Grecia,18763,grecia,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Herediano,862,herediano,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Municipal Liberia,9361,municipal-liberia,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Perez Zeledon,7234,perez-zeledon,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Puntarenas,7237,puntarenas,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
San Carlos,859,san-carlos,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Santos,913,santos,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Saprissa,858,saprissa,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
Sporting San José,20705,sporting-san-jose,crc.1,Costa Rican Primera Division,"USA, Mexico & CONCACAF"
AGF Aarhus,7853,agf-aarhus,den.1,Danish Superliga,Europe
Brøndby,575,brøndby,den.1,Danish Superliga,Europe
FC Copenhagen,909,fc-copenhagen,den.1,Danish Superliga,Europe
FC Midtjylland,572,fc-midtjylland,den.1,Danish Superliga,Europe
FC Nordsjaelland,3101,fc-nordsjaelland,den.1,Danish Superliga,Europe
Hvidovre IF,21933,hvidovre-if,den.1,Danish Superliga,Europe
Lyngby,7860,lyngby,den.1,Danish Superliga,Europe
Odense Boldklub,11550,odense-boldklub,den.1,Danish Superliga,Europe
Randers FC,3132,randers-fc,den.1,Danish Superliga,Europe
Silkeborg IF,607,silkeborg-if,den.1,Danish Superliga,Europe
Vejle BK,12498,vejle-bk,den.1,Danish Superliga,Europe
Viborg FF,3153,viborg-ff,den.1,Danish Superliga,Europe
Aucas,6017,aucas,ecu.1,LigaPro Ecuador,South America
Barcelona SC,2686,barcelona-sc,ecu.1,LigaPro Ecuador,South America
Cumbayá,21392,cumbaya,ecu.1,LigaPro Ecuador,South America
Delfín,1011,delfin,ecu.1,LigaPro Ecuador,South America
Deportivo Cuenca,4812,deportivo-cuenca,ecu.1,LigaPro Ecuador,South America
El Nacional,882,el-nacional,ecu.1,LigaPro Ecuador,South America
Emelec,2668,emelec,ecu.1,LigaPro Ecuador,South America
Imbabura,7422,imbabura,ecu.1,LigaPro Ecuador,South America
Independiente del Valle,17086,independiente-del-valle,ecu.1,LigaPro Ecuador,South America
Libertad (Ecuador),21843,libertad-ecuador,ecu.1,LigaPro Ecuador,South America
Liga de Quito,4816,liga-de-quito,ecu.1,LigaPro Ecuador,South America
Macará,18439,macara,ecu.1,LigaPro Ecuador,South America
Mushuc Runa,17176,mushuc-runa,ecu.1,LigaPro Ecuador,South America
Orense,20695,orense,ecu.1,LigaPro Ecuador,South America
Técnico Universitario,9292,tecnico-universitario,ecu.1,LigaPro Ecuador,South America
Universidad Católica (Quito),9283,universidad-catolica-quito,ecu.1,LigaPro Ecuador,South America
AFC Bournemouth,349,afc-bournemouth,eng.1,English Premier League,UK & Ireland
Arsenal,359,arsenal,eng.1,English Premier League,UK & Ireland
Aston Villa,362,aston-villa,eng.1,English Premier League,UK & Ireland
Brentford,337,brentford,eng.1,English Premier League,UK & Ireland
Brighton & Hove Albion,331,brighton-hove-albion,eng.1,English Premier League,UK & Ireland
Burnley,379,burnley,eng.1,English Premier League,UK & Ireland
Chelsea,363,chelsea,eng.1,English Premier League,UK & Ireland
Crystal Palace,384,crystal-palace,eng.1,English Premier League,UK & Ireland
Everton,368,everton,eng.1,English Premier League,UK & Ireland
Fulham,370,fulham,eng.1,English Premier League,UK & Ireland
Liverpool,364,liverpool,eng.1,English Premier League,UK & Ireland
Luton Town,301,luton-town,eng.1,English Premier League,UK & Ireland
Manchester City,382,manchester-city,eng.1,English Premier League,UK & Ireland
Manchester United,360,manchester-united,eng.1,English Premier League,UK & Ireland
Newcastle United,361,newcastle-united,eng.1,English Premier League,UK & Ireland
Nottingham Forest,393,nottingham-forest,eng.1,English Premier League,UK & Ireland
Sheffield United,398,sheffield-united,eng.1,English Premier League,UK & Ireland
Tottenham Hotspur,367,tottenham-hotspur,eng.1,English Premier League,UK & Ireland
West Ham United,371,west-ham-united,eng.1,English Premier League,UK & Ireland
Wolverhampton Wanderers,380,wolverhampton-wanderers,eng.1,English Premier League,UK & Ireland
Birmingham City,392,birmingham-city,eng.2,English League Championship,UK & Ireland
Blackburn Rovers,365,blackburn-rovers,eng.2,English League Championship,UK & Ireland
Bristol City,333,bristol-city,eng.2,English League Championship,UK & Ireland
Cardiff City,347,cardiff-city,eng.2,English League Championship,UK & Ireland
Coventry City,388,coventry-city,eng.2,English League Championship,UK & Ireland
Huddersfield Town,335,huddersfield-town,eng.2,English League Championship,UK & Ireland
Hull City,306,hull-city,eng.2,English League Championship,UK & Ireland
Ipswich Town,373,ipswich-town,eng.2,English League Championship,UK & Ireland
Leeds United,357,leeds-united,eng.2,English League Championship,UK & Ireland
Leicester City,375,leicester-city,eng.2,English League Championship,UK & Ireland
Middlesbrough,369,middlesbrough,eng.2,English League Championship,UK & Ireland
Millwall,391,millwall,eng.2,English League Championship,UK & Ireland
Norwich City,381,norwich-city,eng.2,English League Championship,UK & Ireland
Plymouth Argyle,307,plymouth-argyle,eng.2,English League Championship,UK & Ireland
Preston North End,394,preston-north-end,eng.2,English League Championship,UK & Ireland
Queens Park Rangers,334,queens-park-rangers,eng.2,English League Championship,UK & Ireland
Rotherham United,402,rotherham-united,eng.2,English League Championship,UK & Ireland
Sheffield Wednesday,399,sheffield-wednesday,eng.2,English League Championship,UK & Ireland
Southampton,376,southampton,eng.2,English League Championship,UK & Ireland
Stoke City,336,stoke-city,eng.2,English League Championship,UK & Ireland
Sunderland,366,sunderland,eng.2,English League Championship,UK & Ireland
Swansea City,318,swansea-city,eng.2,English League Championship,UK & Ireland
Watford,395,watford,eng.2,English League Championship,UK & Ireland
West Bromwich Albion,383,west-bromwich-albion,eng.2,English League Championship,UK & Ireland
Barnsley,397,barnsley,eng.3,English League One,UK & Ireland
Blackpool,346,blackpool,eng.3,English League One,UK & Ireland
Bolton Wanderers,358,bolton-wanderers,eng.3,English League One,UK & Ireland
Bristol Rovers,308,bristol-rovers,eng.3,English League One,UK & Ireland
Burton Albion,2567,burton-albion,eng.3,English League One,UK & Ireland
Cambridge United,351,cambridge-united,eng.3,English League One,UK & Ireland
Carlisle United,322,carlisle-united,eng.3,English League One,UK & Ireland
Charlton Athletic,372,charlton-athletic,eng.3,English League One,UK & Ireland
Cheltenham Town,320,cheltenham-town,eng.3,English League One,UK & Ireland
Derby County,374,derby-county,eng.3,English League One,UK & Ireland
Exeter City,324,exeter-city,eng.3,English League One,UK & Ireland
Fleetwood Town,3891,fleetwood-town,eng.3,English League One,UK & Ireland
Leyton Orient,309,leyton-orient,eng.3,English League One,UK & Ireland
Lincoln City,314,lincoln-city,eng.3,English League One,UK & Ireland
Northampton Town,353,northampton-town,eng.3,English League One,UK & Ireland
Oxford United,311,oxford-united,eng.3,English League One,UK & Ireland
Peterborough United,342,peterborough-united,eng.3,English League One,UK & Ireland
Port Vale,348,port-vale,eng.3,English League One,UK & Ireland
Portsmouth,385,portsmouth,eng.3,English League One,UK & Ireland
Reading,338,reading,eng.3,English League One,UK & Ireland
Shrewsbury Town,302,shrewsbury-town,eng.3,English League One,UK & Ireland
Stevenage,285,stevenage,eng.3,English League One,UK & Ireland
Wigan Athletic,350,wigan-athletic,eng.3,English League One,UK & Ireland
Wycombe Wanderers,344,wycombe-wanderers,eng.3,English League One,UK & Ireland
AFC Wimbledon,3802,afc-wimbledon,eng.4,English League Two,UK & Ireland
Accrington Stanley,2731,accrington-stanley,eng.4,English League Two,UK & Ireland
Barrow,642,barrow,eng.4,English League Two,UK & Ireland
Bradford City,387,bradford-city,eng.4,English League Two,UK & Ireland
Colchester United,339,colchester-united,eng.4,English League Two,UK & Ireland
Crawley Town,2594,crawley-town,eng.4,English League Two,UK & Ireland
Crewe Alexandra,396,crewe-alexandra,eng.4,English League Two,UK & Ireland
Doncaster Rovers,279,doncaster-rovers,eng.4,English League Two,UK & Ireland
Forest Green Rovers,282,forest-green-rovers,eng.4,English League Two,UK & Ireland
Gillingham,389,gillingham,eng.4,English League Two,UK & Ireland
Grimsby Town,386,grimsby-town,eng.4,English League Two,UK & Ireland
Harrogate Town,19262,harrogate-town,eng.4,English League Two,UK & Ireland
Mansfield Town,304,mansfield-town,eng.4,English League Two,UK & Ireland
Milton Keynes Dons,390,milton-keynes-dons,eng.4,English League Two,UK & Ireland
Morecambe,278,morecambe,eng.4,English League Two,UK & Ireland
Newport County,635,newport-county,eng.4,English League Two,UK & Ireland
Notts County,340,notts-county,eng.4,English League Two,UK & Ireland
Salford City,4703,salford-city,eng.4,English League Two,UK & Ireland
Stockport County,400,stockport-county,eng.4,English League Two,UK & Ireland
Sutton United,3231,sutton-united,eng.4,English League Two,UK & Ireland
Swindon Town,341,swindon-town,eng.4,English League Two,UK & Ireland
Tranmere Rovers,345,tranmere-rovers,eng.4,English League Two,UK & Ireland
Walsall,401,walsall,eng.4,English League Two,UK & Ireland
Wrexham,352,wrexham,eng.4,English League Two,UK & Ireland
AFC Fylde,13884,afc-fylde,eng.5,English National League,UK & Ireland
Aldershot Town,632,aldershot-town,eng.5,English National League,UK & Ireland
Altrincham,633,altrincham,eng.5,English National League,UK & Ireland
Barnet,280,barnet,eng.5,English National League,UK & Ireland
Boreham Wood,2595,boreham-wood,eng.5,English National League,UK & Ireland
Bromley,3129,bromley,eng.5,English National League,UK & Ireland
Chesterfield,343,chesterfield,eng.5,English National League,UK & Ireland
Dagenham & Redbridge,275,dagenham-redbridge,eng.5,English National League,UK & Ireland
Dorking Wanderers,21582,dorking-wanderers,eng.5,English National League,UK & Ireland
Eastleigh,3897,eastleigh,eng.5,English National League,UK & Ireland
Ebbsfleet United,640,ebbsfleet-united,eng.5,English National League,UK & Ireland
FC Halifax Town,312,fc-halifax-town,eng.5,English National League,UK & Ireland
Gateshead,3138,gateshead,eng.5,English National League,UK & Ireland
Hartlepool United,323,hartlepool-united,eng.5,English National League,UK & Ireland
Kidderminster Harriers,319,kidderminster-harriers,eng.5,English National League,UK & Ireland
Maidenhead United,7156,maidenhead-united,eng.5,English National League,UK & Ireland
Oldham Athletic,332,oldham-athletic,eng.5,English National League,UK & Ireland
Oxford City,4489,oxford-city,eng.5,English National League,UK & Ireland
Rochdale,303,rochdale,eng.5,English National League,UK & Ireland
Solihull Moors,13061,solihull-moors,eng.5,English National League,UK & Ireland
Southend United,310,southend-united,eng.5,English National League,UK & Ireland
Wealdstone,3887,wealdstone,eng.5,English National League,UK & Ireland
Woking,290,woking,eng.5,English National League,UK & Ireland
York City,315,york-city,eng.5,English National League,UK & Ireland
AFC Bournemouth,349,afc-bournemouth,eng.fa,English FA Cup,UK & Ireland
AFC Fylde,13884,afc-fylde,eng.fa,English FA Cup,UK & Ireland
AFC Wimbledon,3802,afc-wimbledon,eng.fa,English FA Cup,UK & Ireland
Accrington Stanley,2731,accrington-stanley,eng.fa,English FA Cup,UK & Ireland
Aldershot Town,632,aldershot-town,eng.fa,English FA Cup,UK & Ireland
Alfreton Town,3165,alfreton-town,eng.fa,English FA Cup,UK & Ireland
Arsenal,359,arsenal,eng.fa,English FA Cup,UK & Ireland
Aston Villa,362,aston-villa,eng.fa,English FA Cup,UK & Ireland
Barnet,280,barnet,eng.fa,English FA Cup,UK & Ireland
Barnsley,397,barnsley,eng.fa,English FA Cup,UK & Ireland
Barrow,642,barrow,eng.fa,English FA Cup,UK & Ireland
Birmingham City,392,birmingham-city,eng.fa,English FA Cup,UK & Ireland
Blackburn Rovers,365,blackburn-rovers,eng.fa,English FA Cup,UK & Ireland
Blackpool,346,blackpool,eng.fa,English FA Cup,UK & Ireland
Bolton Wanderers,358,bolton-wanderers,eng.fa,English FA Cup,UK & Ireland
Boreham Wood,2595,boreham-wood,eng.fa,English FA Cup,UK & Ireland
Bracknell Town,21708,bracknell-town,eng.fa,English FA Cup,UK & Ireland
Bradford City,387,bradford-city,eng.fa,English FA Cup,UK & Ireland
Brentford,337,brentford,eng.fa,English FA Cup,UK & Ireland
Brighton & Hove Albion,331,brighton-hove-albion,eng.fa,English FA Cup,UK & Ireland
Bristol City,333,bristol-city,eng.fa,English FA Cup,UK & Ireland
Bristol Rovers,308,bristol-rovers,eng.fa,English FA Cup,UK & Ireland
Bromley,3129,bromley,eng.fa,English FA Cup,UK & Ireland
Burnley,379,burnley,eng.fa,English FA Cup,UK & Ireland
Burton Albion,2567,burton-albion,eng.fa,English FA Cup,UK & Ireland
Cambridge United,351,cambridge-united,eng.fa,English FA Cup,UK & Ireland
Cardiff City,347,cardiff-city,eng.fa,English FA Cup,UK & Ireland
Carlisle United,322,carlisle-united,eng.fa,English FA Cup,UK & Ireland
Charlton Athletic,372,charlton-athletic,eng.fa,English FA Cup,UK & Ireland
Chelsea,363,chelsea,eng.fa,English FA Cup,UK & Ireland
Cheltenham Town,320,cheltenham-town,eng.fa,English FA Cup,UK & Ireland
Chesham United,4181,chesham-united,eng.fa,English FA Cup,UK & Ireland
Chester FC,292,chester-fc,eng.fa,English FA Cup,UK & Ireland
Chesterfield,343,chesterfield,eng.fa,English FA Cup,UK & Ireland
Colchester United,339,colchester-united,eng.fa,English FA Cup,UK & Ireland
Coventry City,388,coventry-city,eng.fa,English FA Cup,UK & Ireland
Crawley Town,2594,crawley-town,eng.fa,English FA Cup,UK & Ireland
Cray Valley Paper Mills,20773,cray-valley-paper-mills,eng.fa,English FA Cup,UK & Ireland
Crewe Alexandra,396,crewe-alexandra,eng.fa,English FA Cup,UK & Ireland
Crystal Palace,384,crystal-palace,eng.fa,English FA Cup,UK & Ireland
Curzon Ashton,10182,curzon-ashton,eng.fa,English FA Cup,UK & Ireland
Derby County,374,derby-county,eng.fa,English FA Cup,UK & Ireland
Doncaster Rovers,279,doncaster-rovers,eng.fa,English FA Cup,UK & Ireland
Eastleigh,3897,eastleigh,eng.fa,English FA Cup,UK & Ireland
Everton,368,everton,eng.fa,English FA Cup,UK & Ireland
Exeter City,324,exeter-city,eng.fa,English FA Cup,UK & Ireland
Fleetwood Town,3891,fleetwood-town,eng.fa,English FA Cup,UK & Ireland
Forest Green Rovers,282,forest-green-rovers,eng.fa,English FA Cup,UK & Ireland
Fulham,370,fulham,eng.fa,English FA Cup,UK & Ireland
Gateshead,3138,gateshead,eng.fa,English FA Cup,UK & Ireland
Gillingham,389,gillingham,eng.fa,English FA Cup,UK & Ireland
Grimsby Town,386,grimsby-town,eng.fa,English FA Cup,UK & Ireland
Harrogate Town,19262,harrogate-town,eng.fa,English FA Cup,UK & Ireland
Hereford F.C.,18885,hereford-fc,eng.fa,English FA Cup,UK & Ireland
Horsham,8706,horsham,eng.fa,English FA Cup,UK & Ireland
Huddersfield Town,335,huddersfield-town,eng.fa,English FA Cup,UK & Ireland
Hull City,306,hull-city,eng.fa,English FA Cup,UK & Ireland
Ipswich Town,373,ipswich-town,eng.fa,English FA Cup,UK & Ireland
Kidderminster Harriers,319,kidderminster-harriers,eng.fa,English FA Cup,UK & Ireland
Leeds United,357,leeds-united,eng.fa,English FA Cup,UK & Ireland
Leicester City,375,leicester-city,eng.fa,English FA Cup,UK & Ireland
Leyton Orient,309,leyton-orient,eng.fa,English FA Cup,UK & Ireland
Lincoln City,314,lincoln-city,eng.fa,English FA Cup,UK & Ireland
Liverpool,364,liverpool,eng.fa,English FA Cup,UK & Ireland
Luton Town,301,luton-town,eng.fa,English FA Cup,UK & Ireland
Maidenhead United,7156,maidenhead-united,eng.fa,English FA Cup,UK & Ireland
Maidstone United,3110,maidstone-united,eng.fa,English FA Cup,UK & Ireland
Manchester City,382,manchester-city,eng.fa,English FA Cup,UK & Ireland
Manchester United,360,manchester-united,eng.fa,English FA Cup,UK & Ireland
Mansfield Town,304,mansfield-town,eng.fa,English FA Cup,UK & Ireland
Marine,20771,marine,eng.fa,English FA Cup,UK & Ireland
Middlesbrough,369,middlesbrough,eng.fa,English FA Cup,UK & Ireland
Millwall,391,millwall,eng.fa,English FA Cup,UK & Ireland
Milton Keynes Dons,390,milton-keynes-dons,eng.fa,English FA Cup,UK & Ireland
Morecambe,278,morecambe,eng.fa,English FA Cup,UK & Ireland
Newcastle United,361,newcastle-united,eng.fa,English FA Cup,UK & Ireland
Newport County,635,newport-county,eng.fa,English FA Cup,UK & Ireland
Northampton Town,353,northampton-town,eng.fa,English FA Cup,UK & Ireland
Norwich City,381,norwich-city,eng.fa,English FA Cup,UK & Ireland
Nottingham Forest,393,nottingham-forest,eng.fa,English FA Cup,UK & Ireland
Notts County,340,notts-county,eng.fa,English FA Cup,UK & Ireland
Oldham Athletic,332,oldham-athletic,eng.fa,English FA Cup,UK & Ireland
Oxford United,311,oxford-united,eng.fa,English FA Cup,UK & Ireland
Peterborough United,342,peterborough-united,eng.fa,English FA Cup,UK & Ireland
Plymouth Argyle,307,plymouth-argyle,eng.fa,English FA Cup,UK & Ireland
Port Vale,348,port-vale,eng.fa,English FA Cup,UK & Ireland
Portsmouth,385,portsmouth,eng.fa,English FA Cup,UK & Ireland
Preston North End,394,preston-north-end,eng.fa,English FA Cup,UK & Ireland
Queens Park Rangers,334,queens-park-rangers,eng.fa,English FA Cup,UK & Ireland
Ramsgate,3651,ramsgate,eng.fa,English FA Cup,UK & Ireland
Reading,338,reading,eng.fa,English FA Cup,UK & Ireland
Rotherham United,402,rotherham-united,eng.fa,English FA Cup,UK & Ireland
Salford City,4703,salford-city,eng.fa,English FA Cup,UK & Ireland
Scarborough Athletic,22090,scarborough-athletic,eng.fa,English FA Cup,UK & Ireland
Sheffield United,398,sheffield-united,eng.fa,English FA Cup,UK & Ireland
Sheffield Wednesday,399,sheffield-wednesday,eng.fa,English FA Cup,UK & Ireland
Sheppey United,22091,sheppey-united,eng.fa,English FA Cup,UK & Ireland
Shrewsbury Town,302,shrewsbury-town,eng.fa,English FA Cup,UK & Ireland
Slough Town,3806,slough-town,eng.fa,English FA Cup,UK & Ireland
Solihull Moors,13061,solihull-moors,eng.fa,English FA Cup,UK & Ireland
Southampton,376,southampton,eng.fa,English FA Cup,UK & Ireland
Stevenage,285,stevenage,eng.fa,English FA Cup,UK & Ireland
Stockport County,400,stockport-county,eng.fa,English FA Cup,UK & Ireland
Stoke City,336,stoke-city,eng.fa,English FA Cup,UK & Ireland
Sunderland,366,sunderland,eng.fa,English FA Cup,UK & Ireland
Sutton United,3231,sutton-united,eng.fa,English FA Cup,UK & Ireland
