Team Name,Team ID,Team Name Link,League Code,League,Region
Deportivo Riestra,17702,deportivo-riestra,arg.1,Argentine Liga Profesional de Fútbol,South America
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.1,Argentine Liga Profesional de Fútbol,South America
Gimnasia La Plata,9,gimnasia-la-plata,arg.1,Argentine Liga Profesional de Fútbol,South America
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,arg.1,Argentine Liga Profesional de Fútbol,South America
Huracán,10,huracan,arg.1,Argentine Liga Profesional de Fútbol,South America
Independiente,11,independiente,arg.1,Argentine Liga Profesional de Fútbol,South America
Independiente Rivadavia,9744,independiente-rivadavia,arg.1,Argentine Liga Profesional de Fútbol,South America
Instituto (Córdoba),2975,instituto-cordoba,arg.1,Argentine Liga Profesional de Fútbol,South America
Lanús,12,lanus,arg.1,Argentine Liga Profesional de Fútbol,South America
Newell's Old Boys,14,newells-old-boys,arg.1,Argentine Liga Profesional de Fútbol,South America
Platense,7764,platense,arg.1,Argentine Liga Profesional de Fútbol,South America
Racing Club,15,racing-club,arg.1,Argentine Liga Profesional de Fútbol,South America
River Plate,16,river-plate,arg.1,Argentine Liga Profesional de Fútbol,South America
Rosario Central,17,rosario-central,arg.1,Argentine Liga Profesional de Fútbol,South America
San Lorenzo,18,san-lorenzo,arg.1,Argentine Liga Profesional de Fútbol,South America
Sarmiento (Junín),10158,sarmiento-junin,arg.1,Argentine Liga Profesional de Fútbol,South America
Talleres (Córdoba),19,talleres-cordoba,arg.1,Argentine Liga Profesional de Fútbol,South America
Tigre,7767,tigre,arg.1,Argentine Liga Profesional de Fútbol,South America
Unión (Santa Fe),20,union-santa-fe,arg.1,Argentine Liga Profesional de Fútbol,South America
Vélez Sarsfield,21,velez-sarsfield,arg.1,Argentine Liga Profesional de Fútbol,South America
Agropecuario,13913,agropecuario,arg.2,Argentine Nacional B,South America
Aldosivi,9739,aldosivi,arg.2,Argentine Nacional B,South America
All Boys,9786,all-boys,arg.2,Argentine Nacional B,South America
Almagro,2,almagro,arg.2,Argentine Nacional B,South America
Almirante Brown,9740,almirante-brown,arg.2,Argentine Nacional B,South America
Alvarado (Mar del Plata),19143,alvarado-mar-del-plata,arg.2,Argentine Nacional B,South America
Arsenal Sarandi,2635,arsenal-sarandi,arg.2,Argentine Nacional B,South America
Atlanta,10146,atlanta,arg.2,Argentine Nacional B,South America
Atletico Rafaela,9747,atletico-rafaela,arg.2,Argentine Nacional B,South America
Brown (Adrogué),10147,brown-adrogue,arg.2,Argentine Nacional B,South America
Chacarita Juniors,6,chacarita-juniors,arg.2,Argentine Nacional B,South America
Chaco For Ever,11963,chaco-for-ever,arg.2,Argentine Nacional B,South America
Colón (Santa Fe),7,colon-santa-fe,arg.2,Argentine Nacional B,South America
Defensores Unidos,17697,defensores-unidos,arg.2,Argentine Nacional B,South America
Defensores de Belgrano,10151,defensores-de-belgrano,arg.2,Argentine Nacional B,South America
Deportivo Madryn,18260,deportivo-madryn,arg.2,Argentine Nacional B,South America
Deportivo Maipú,11978,deportivo-maipu,arg.2,Argentine Nacional B,South America
Deportivo Morón,10154,deportivo-moron,arg.2,Argentine Nacional B,South America
Estudiantes (Buenos Aires),17352,estudiantes-buenos-aires,arg.2,Argentine Nacional B,South America
Estudiantes de Río Cuarto,19685,estudiantes-de-rio-cuarto,arg.2,Argentine Nacional B,South America
Ferro Carril Oeste,9743,ferro-carril-oeste,arg.2,Argentine Nacional B,South America
Gimnasia (Mendoza),11972,gimnasia-mendoza,arg.2,Argentine Nacional B,South America
Gimnasia y Esgrima (Jujuy),5263,gimnasia-y-esgrima-jujuy,arg.2,Argentine Nacional B,South America
Gimnasia y Tiro (Salta),10743,gimnasia-y-tiro-salta,arg.2,Argentine Nacional B,South America
Guillermo Brown,11674,guillermo-brown,arg.2,Argentine Nacional B,South America
Güemes,18284,guemes,arg.2,Argentine Nacional B,South America
Mitre (Santiago del Estero),11990,mitre-santiago-del-estero,arg.2,Argentine Nacional B,South America
Nueva Chicago,236,nueva-chicago,arg.2,Argentine Nacional B,South America
Patronato,10374,patronato,arg.2,Argentine Nacional B,South America
Quilmes,2741,quilmes,arg.2,Argentine Nacional B,South America
Racing (Córdoba),19145,racing-cordoba,arg.2,Argentine Nacional B,South America
San Martín (San Juan),7845,san-martin-san-juan,arg.2,Argentine Nacional B,South America
San Martín (Tucumán),17814,san-martin-tucuman,arg.2,Argentine Nacional B,South America
San Miguel,10058,san-miguel,arg.2,Argentine Nacional B,South America
San Telmo,10157,san-telmo,arg.2,Argentine Nacional B,South America
Talleres,10161,talleres,arg.2,Argentine Nacional B,South America
Temperley,10162,temperley,arg.2,Argentine Nacional B,South America
Tristán Suárez,10163,tristan-suarez,arg.2,Argentine Nacional B,South America
Acassuso,10145,acassuso,arg.3,Argentine Primera B,South America
Argentino (Merlo),17700,argentino-merlo,arg.3,Argentine Primera B,South America
Argentino de Quilmes,17693,argentino-de-quilmes,arg.3,Argentine Primera B,South America
Cañuelas,10046,canuelas,arg.3,Argentine Primera B,South America
Colegiales,10149,colegiales,arg.3,Argentine Primera B,South America
Comunicaciones,14074,comunicaciones,arg.3,Argentine Primera B,South America
Deportivo Armenio,10152,deportivo-armenio,arg.3,Argentine Primera B,South America
Deportivo Laferrere,17695,deportivo-laferrere,arg.3,Argentine Primera B,South America
Deportivo Merlo,17704,deportivo-merlo,arg.3,Argentine Primera B,South America
Dock Sud,10103,dock-sud,arg.3,Argentine Primera B,South America
Excursionistas,10054,excursionistas,arg.3,Argentine Primera B,South America
Flandria,10156,flandria,arg.3,Argentine Primera B,South America
Fénix,10053,fenix,arg.3,Argentine Primera B,South America
Liniers,10107,liniers,arg.3,Argentine Primera B,South America
Los Andes,13,los-andes,arg.3,Argentine Primera B,South America
Midland,10109,midland,arg.3,Argentine Primera B,South America
Sacachispas,10051,sacachispas,arg.3,Argentine Primera B,South America
San Martín (Burzaco),17692,san-martin-burzaco,arg.3,Argentine Primera B,South America
Sportivo Italiano,17703,sportivo-italiano,arg.3,Argentine Primera B,South America
UAI Urquiza,17705,uai-urquiza,arg.3,Argentine Primera B,South America
Villa Dálmine,10064,villa-dalmine,arg.3,Argentine Primera B,South America
Villa San Carlos,10052,villa-san-carlos,arg.3,Argentine Primera B,South America
Argentino (Rosario),10048,argentino-rosario,arg.4,Argentine Primera C,South America
Atlas,10099,atlas,arg.4,Argentine Primera C,South America
Berazategui,17349,berazategui,arg.4,Argentine Primera C,South America
Cambaceres,17694,cambaceres,arg.4,Argentine Primera C,South America
Central Ballester,10100,central-ballester,arg.4,Argentine Primera C,South America
Central Córdoba (Rosario),10148,central-cordoba-rosario,arg.4,Argentine Primera C,South America
Centro Español,10101,centro-espanol,arg.4,Argentine Primera C,South America
Claypole,10102,claypole,arg.4,Argentine Primera C,South America
Deportivo Español,17701,deportivo-espanol,arg.4,Argentine Primera C,South America
Deportivo Paraguayo,10110,deportivo-paraguayo,arg.4,Argentine Primera C,South America
El Porvenir,10061,el-porvenir,arg.4,Argentine Primera C,South America
General Lamadrid,17699,general-lamadrid,arg.4,Argentine Primera C,South America
Ituzaingó,10105,ituzaingo,arg.4,Argentine Primera C,South America
JJ Urquiza,17696,jj-urquiza,arg.4,Argentine Primera C,South America
Juventud Unida,17698,juventud-unida,arg.4,Argentine Primera C,South America
Leandro N. Alem,17708,leandro-n-alem,arg.4,Argentine Primera C,South America
Lugano,623,lugano,arg.4,Argentine Primera C,South America
Luján,6499,lujan,arg.4,Argentine Primera C,South America
Mercedes,21500,mercedes,arg.4,Argentine Primera C,South America
Muñiz,17707,muniz,arg.4,Argentine Primera C,South America
Puerto Nuevo,10111,puerto-nuevo,arg.4,Argentine Primera C,South America
Real Pilar,18844,real-pilar,arg.4,Argentine Primera C,South America
Sportivo Barracas,17706,sportivo-barracas,arg.4,Argentine Primera C,South America
Victoriano Arenas,10114,victoriano-arenas,arg.4,Argentine Primera C,South America
Yupanqui,10115,yupanqui,arg.4,Argentine Primera C,South America
Argentino (Rosario),10048,argentino-rosario,arg.5,Argentine Primera D,South America
Cambaceres,17694,cambaceres,arg.5,Argentine Primera D,South America
Central Ballester,10100,central-ballester,arg.5,Argentine Primera D,South America
Centro Español,10101,centro-espanol,arg.5,Argentine Primera D,South America
Deportivo Paraguayo,10110,deportivo-paraguayo,arg.5,Argentine Primera D,South America
El Porvenir,10061,el-porvenir,arg.5,Argentine Primera D,South America
Juventud Unida,17698,juventud-unida,arg.5,Argentine Primera D,South America
Lugano,623,lugano,arg.5,Argentine Primera D,South America
Mercedes,21500,mercedes,arg.5,Argentine Primera D,South America
Muñiz,17707,muniz,arg.5,Argentine Primera D,South America
Sportivo Barracas,17706,sportivo-barracas,arg.5,Argentine Primera D,South America
Agropecuario,13913,agropecuario,arg.copa,Copa Argentina,South America
Almirante Brown,9740,almirante-brown,arg.copa,Copa Argentina,South America
Argentino Monte Maíz,22166,argentino-monte-maiz,arg.copa,Copa Argentina,South America
Argentino de Quilmes,17693,argentino-de-quilmes,arg.copa,Copa Argentina,South America
Argentinos Juniors,3,argentinos-juniors,arg.copa,Copa Argentina,South America
Arsenal Sarandi,2635,arsenal-sarandi,arg.copa,Copa Argentina,South America
Atletico Rafaela,9747,atletico-rafaela,arg.copa,Copa Argentina,South America
Atlético Independiente (Chivilcoy),13930,atletico-independiente-chivilcoy,arg.copa,Copa Argentina,South America
Atlético Tucumán,9785,atletico-tucuman,arg.copa,Copa Argentina,South America
Banfield,235,banfield,arg.copa,Copa Argentina,South America
Barracas Central,10060,barracas-central,arg.copa,Copa Argentina,South America
Belgrano (Córdoba),4,belgrano-cordoba,arg.copa,Copa Argentina,South America
Boca Juniors,5,boca-juniors,arg.copa,Copa Argentina,South America
Central Córdoba (Santiago del Estero),11989,central-cordoba-santiago-del-estero,arg.copa,Copa Argentina,South America
Central Norte,11993,central-norte,arg.copa,Copa Argentina,South America
Centro Español,10101,centro-espanol,arg.copa,Copa Argentina,South America
Chacarita Juniors,6,chacarita-juniors,arg.copa,Copa Argentina,South America
Ciudad de Bolívar,21799,ciudad-de-bolivar,arg.copa,Copa Argentina,South America
Colón (Santa Fe),7,colon-santa-fe,arg.copa,Copa Argentina,South America
Comunicaciones,14074,comunicaciones,arg.copa,Copa Argentina,South America
Defensa y Justicia,8950,defensa-y-justicia,arg.copa,Copa Argentina,South America
Defensores de Belgrano,10151,defensores-de-belgrano,arg.copa,Copa Argentina,South America
Deportivo Laferrere,17695,deportivo-laferrere,arg.copa,Copa Argentina,South America
Deportivo Maipú,11978,deportivo-maipu,arg.copa,Copa Argentina,South America
Deportivo Riestra,17702,deportivo-riestra,arg.copa,Copa Argentina,South America
Douglas Haig,11942,douglas-haig,arg.copa,Copa Argentina,South America
El Porvenir,10061,el-porvenir,arg.copa,Copa Argentina,South America
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.copa,Copa Argentina,South America
Estudiantes de Río Cuarto,19685,estudiantes-de-rio-cuarto,arg.copa,Copa Argentina,South America
Excursionistas,10054,excursionistas,arg.copa,Copa Argentina,South America
Gimnasia (Mendoza),11972,gimnasia-mendoza,arg.copa,Copa Argentina,South America
Gimnasia La Plata,9,gimnasia-la-plata,arg.copa,Copa Argentina,South America
Gimnasia y Tiro (Salta),10743,gimnasia-y-tiro-salta,arg.copa,Copa Argentina,South America
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,arg.copa,Copa Argentina,South America
Huracán,10,huracan,arg.copa,Copa Argentina,South America
Independiente,11,independiente,arg.copa,Copa Argentina,South America
Independiente Rivadavia,9744,independiente-rivadavia,arg.copa,Copa Argentina,South America
Instituto (Córdoba),2975,instituto-cordoba,arg.copa,Copa Argentina,South America
Juventud Unida Universitario,17351,juventud-unida-universitario,arg.copa,Copa Argentina,South America
Lanús,12,lanus,arg.copa,Copa Argentina,South America
Los Andes,13,los-andes,arg.copa,Copa Argentina,South America
Midland,10109,midland,arg.copa,Copa Argentina,South America
Mitre (Santiago del Estero),11990,mitre-santiago-del-estero,arg.copa,Copa Argentina,South America
Newell's Old Boys,14,newells-old-boys,arg.copa,Copa Argentina,South America
Olimpo,2636,olimpo,arg.copa,Copa Argentina,South America
Platense,7764,platense,arg.copa,Copa Argentina,South America
Quilmes,2741,quilmes,arg.copa,Copa Argentina,South America
Racing Club,15,racing-club,arg.copa,Copa Argentina,South America
River Plate,16,river-plate,arg.copa,Copa Argentina,South America
Rosario Central,17,rosario-central,arg.copa,Copa Argentina,South America
San Lorenzo,18,san-lorenzo,arg.copa,Copa Argentina,South America
San Martín (Burzaco),17692,san-martin-burzaco,arg.copa,Copa Argentina,South America
San Martín (San Juan),7845,san-martin-san-juan,arg.copa,Copa Argentina,South America
San Martín (Tucumán),17814,san-martin-tucuman,arg.copa,Copa Argentina,South America
San Miguel,10058,san-miguel,arg.copa,Copa Argentina,South America
Sarmiento (Junín),10158,sarmiento-junin,arg.copa,Copa Argentina,South America
Sportivo Las Parejas,18664,sportivo-las-parejas,arg.copa,Copa Argentina,South America
Talleres,10161,talleres,arg.copa,Copa Argentina,South America
Talleres (Córdoba),19,talleres-cordoba,arg.copa,Copa Argentina,South America
Temperley,10162,temperley,arg.copa,Copa Argentina,South America
Tigre,7767,tigre,arg.copa,Copa Argentina,South America
Unión (Santa Fe),20,union-santa-fe,arg.copa,Copa Argentina,South America
Villa Mitre,11931,villa-mitre,arg.copa,Copa Argentina,South America
Vélez Sarsfield,21,velez-sarsfield,arg.copa,Copa Argentina,South America
Argentinos Juniors,3,argentinos-juniors,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Atlético Tucumán,9785,atletico-tucuman,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Banfield,235,banfield,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Barracas Central,10060,barracas-central,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Belgrano (Córdoba),4,belgrano-cordoba,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Boca Juniors,5,boca-juniors,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Central Córdoba (Santiago del Estero),11989,central-cordoba-santiago-del-estero,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Defensa y Justicia,8950,defensa-y-justicia,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Deportivo Riestra,17702,deportivo-riestra,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Gimnasia La Plata,9,gimnasia-la-plata,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Huracán,10,huracan,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Independiente,11,independiente,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Independiente Rivadavia,9744,independiente-rivadavia,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Instituto (Córdoba),2975,instituto-cordoba,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Lanús,12,lanus,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
Newell's Old Boys,14,newells-old-boys,arg.copa_lpf,Argentine Copa de la Liga Profesional,South America
