Team Name,Team ID,Team Name Link,League Code
Água Santa,18128,agua-santa,bra.copa_do_brazil
ASEC Mimosas,19217,asec-mimosas,caf.champions
Al Ahly,10207,al-ahly,caf.champions
Al Hilal Omdurman,18832,al-hilal-omdurman,caf.champions
CR Belouizdad,20853,cr-belouizdad,caf.champions
Esperance Sportive de Tunis,8377,esperance-sportive-de-tunis,caf.champions
Etoile Sahel,2346,etoile-sahel,caf.champions
FC Nouadhibou,20219,fc-nouadhibou,caf.champions
Jwaneng Galaxy,21363,jwaneng-galaxy,caf.champions
Mamelodi Sundowns,7084,mamelodi-sundowns,caf.champions
Medeama,18601,medeama,caf.champions
Petro de Luanda,19436,petro-de-luanda,caf.champions
Pyramids FC,20220,pyramids-fc,caf.champions
Simba SC,19414,simba-sc,caf.champions
TP Mazembe,10674,tp-mazembe,caf.champions
Wydad Casablanca,8625,wydad-casablanca,caf.champions
Young Africans,19223,young-africans,caf.champions
Abu Salim SC,22076,abu-salim-sc,caf.confed
Académica do Lobito,22078,academica-do-lobito,caf.confed
Académie SOAR,22075,academie-soar,caf.confed
Al Hilal Benghazi,22074,al-hilal-benghazi,caf.confed
Club Africain,18816,club-africain,caf.confed
Diables Noirs,21804,diables-noirs,caf.confed
Dreams F.C.,18990,dreams-fc,caf.confed
Future FC,21807,future-fc,caf.confed
RSB Berkane,19221,rsb-berkane,caf.confed
Rivers United FC,17795,rivers-united-fc,caf.confed
Sagrada Esperança,21362,sagrada-esperanca,caf.confed
Sekhukhune United,20814,sekhukhune-united,caf.confed
Stade Malien,22077,stade-malien,caf.confed
SuperSport United,7080,supersport-united,caf.confed
USM Alger,7517,usm-alger,caf.confed
Zamalek,8392,zamalek,caf.confed
Audax Italiano,4138,audax-italiano,chi.1
Cobreloa,2678,cobreloa,chi.1
Cobresal,4133,cobresal,chi.1
Colo Colo,2688,colo-colo,chi.1
Copiapó,10139,copiapo,chi.1
Coquimbo Unido,8186,coquimbo-unido,chi.1
Deportes Iquique,10142,deportes-iquique,chi.1
Everton CD,4129,everton-cd,chi.1
Huachipato,4134,huachipato,chi.1
O'Higgins,6072,ohiggins,chi.1
Palestino,4422,palestino,chi.1
Universidad Católica,885,universidad-catolica,chi.1
Universidad de Chile,4139,universidad-de-chile,chi.1
Unión Española,4132,union-espanola,chi.1
Unión La Calera,10144,union-la-calera,chi.1
Ñublense,7427,nublense,chi.1
AC Colina,19983,ac-colina,chi.copa_chi
Aguará,21458,aguara,chi.copa_chi
Antofagasta,6071,antofagasta,chi.copa_chi
Audax Italiano,4138,audax-italiano,chi.copa_chi
Barnechea,17364,barnechea,chi.copa_chi
Bories,21890,bories,chi.copa_chi
Chimbarongo,21893,chimbarongo,chi.copa_chi
Cobreloa,2678,cobreloa,chi.copa_chi
Cobresal,4133,cobresal,chi.copa_chi
Colchagua,19194,colchagua,chi.copa_chi
Colo Colo,2688,colo-colo,chi.copa_chi
Comunal Cabrero,21896,comunal-cabrero,chi.copa_chi
Concón National,21897,concon-national,chi.copa_chi
Constitución,21898,constitucion,chi.copa_chi
Copiapó,10139,copiapo,chi.copa_chi
Coquimbo Unido,8186,coquimbo-unido,chi.copa_chi
Curicó Unido,17365,curico-unido,chi.copa_chi
Deportes Concepcion,8110,deportes-concepcion,chi.copa_chi
Deportes Iquique,10142,deportes-iquique,chi.copa_chi
Deportes Limache,19195,deportes-limache,chi.copa_chi
Deportes Linares,19196,deportes-linares,chi.copa_chi
Deportes Quillón,21457,deportes-quillon,chi.copa_chi
Deportes Recoleta,19197,deportes-recoleta,chi.copa_chi
Deportes Santa Cruz,19198,deportes-santa-cruz,chi.copa_chi
Deportes Temuco,4128,deportes-temuco,chi.copa_chi
Deportes Valdivia,18325,deportes-valdivia,chi.copa_chi
Eléctricos Refinerías,21905,electricos-refinerias,chi.copa_chi
Everton CD,4129,everton-cd,chi.copa_chi
Fernández Vial,10141,fernandez-vial,chi.copa_chi
Ferroviario Comercial,21899,ferroviario-comercial,chi.copa_chi
General Velásquez,19200,general-velasquez,chi.copa_chi
Gol y Gol,21895,gol-y-gol,chi.copa_chi
Huachipato,4134,huachipato,chi.copa_chi
Iberia,17523,iberia,chi.copa_chi
Juventud Unida,10106,juventud-unida,chi.copa_chi
La Higuera,21460,la-higuera,chi.copa_chi
La Serena,4137,la-serena,chi.copa_chi
Lautaro de Buin,19202,lautaro-de-buin,chi.copa_chi
Liga Universitaria,21889,liga-universitaria,chi.copa_chi
Magallanes,17363,magallanes,chi.copa_chi
Melipilla,8104,melipilla,chi.copa_chi
Municipal Puente Alto,21891,municipal-puente-alto,chi.copa_chi
Municipal Salamanca,21466,municipal-salamanca,chi.copa_chi
O'Higgins,6072,ohiggins,chi.copa_chi
Ojanco,21904,ojanco,chi.copa_chi
Osorno,9204,osorno,chi.copa_chi
Palestino,4422,palestino,chi.copa_chi
Poblacion los Nogales,21902,poblacion-los-nogales,chi.copa_chi
Provincial Ovalle,19205,provincial-ovalle,chi.copa_chi
Provincial Ranco,21455,provincial-ranco,chi.copa_chi
Puerto Montt,4423,puerto-montt,chi.copa_chi
Quintero Unido,21469,quintero-unido,chi.copa_chi
Rancagua Sur,21892,rancagua-sur,chi.copa_chi
Rangers de Talca,4135,rangers-de-talca,chi.copa_chi
Real San Joaquín,21467,real-san-joaquin,chi.copa_chi
Rengo,19981,rengo,chi.copa_chi
San Antonio Unido,19206,san-antonio-unido,chi.copa_chi
San Antonio Unido (SA),21906,san-antonio-unido-sa,chi.copa_chi
San Luis,10143,san-luis,chi.copa_chi
San Marcos de Arica,10138,san-marcos-de-arica,chi.copa_chi
Santiago City,21894,santiago-city,chi.copa_chi
Santiago Morning,6073,santiago-morning,chi.copa_chi
Santiago Wanderers,3552,santiago-wanderers,chi.copa_chi
Teniente Merino,21900,teniente-merino,chi.copa_chi
Trasandino,19982,trasandino,chi.copa_chi
Trasandino de Socoroma,21903,trasandino-de-socoroma,chi.copa_chi
Universidad Católica,885,universidad-catolica,chi.copa_chi
Universidad de Chile,4139,universidad-de-chile,chi.copa_chi
Universidad de Concepción,5362,universidad-de-concepcion,chi.copa_chi
Unión Bellavista,21459,union-bellavista,chi.copa_chi
Unión Compañías,21468,union-companias,chi.copa_chi
Unión Española,4132,union-espanola,chi.copa_chi
Unión Iquique,21907,union-iquique,chi.copa_chi
Unión La Calera,10144,union-la-calera,chi.copa_chi
Unión San Felipe,4130,union-san-felipe,chi.copa_chi
Ñublense,7427,nublense,chi.copa_chi
Beijing Guoan,2052,beijing-guoan,chn.1
Cangzhou Mighty Lions,18199,cangzhou-mighty-lions,chn.1
Changchun Yatai,8225,changchun-yatai,chn.1
Chengdu Rongcheng,21355,chengdu-rongcheng,chn.1
Henan Songshan Longmen,8240,henan-songshan-longmen,chn.1
Meizhou Hakka,21507,meizhou-hakka,chn.1
Nantong Zhiyun,21909,nantong-zhiyun,chn.1
Qingdao Hainiu,21910,qingdao-hainiu,chn.1
Qingdao West Coast,22198,qingdao-west-coast,chn.1
Shandong Taishan,7521,shandong-taishan,chn.1
Shanghai Port,15515,shanghai-port,chn.1
Shanghai Shenhua,977,shanghai-shenhua,chn.1
Shenzhen Xinpengcheng,22199,shenzhen-xinpengcheng,chn.1
Tianjin Jinmen Tiger,8239,tianjin-jinmen-tiger,chn.1
Wuhan Three Towns,21506,wuhan-three-towns,chn.1
Zhejiang Professional FC,18203,zhejiang-professional-fc,chn.1
Alianza FC,9761,alianza-fc,col.1
América de Cali,8109,america-de-cali,col.1
Atlético Junior,4815,atletico-junior,col.1
Atlético Nacional,5264,atletico-nacional,col.1
Boyacá Chicó,5480,boyaca-chico,col.1
Bucaramanga,6137,bucaramanga,col.1
Deportes Tolima,5489,deportes-tolima,col.1
Deportivo Cali,2672,deportivo-cali,col.1
Deportivo Pasto,5485,deportivo-pasto,col.1
Deportivo Pereira,5486,deportivo-pereira,col.1
Envigado,5481,envigado,col.1
Fortaleza CEIF,4928,fortaleza-ceif,col.1
Independiente Medellín,2690,independiente-medellin,col.1
Independiente Santa Fe,5488,independiente-santa-fe,col.1
Jaguares de Córdoba,10309,jaguares-de-cordoba,col.1
La Equidad,7445,la-equidad,col.1
Millonarios,5484,millonarios,col.1
Once Caldas,2919,once-caldas,col.1
Patriotas,9773,patriotas,col.1
Rionegro Águilas,9762,rionegro-aguilas,col.1
Atlético FC,17370,atletico-fc,col.2
Atlético Huila,5482,atletico-huila,col.2
Barranquilla FC,17373,barranquilla-fc,col.2
Boca Juniors de Cali,17372,boca-juniors-de-cali,col.2
Bogotá FC,17371,bogota-fc,col.2
Cúcuta Deportivo,6101,cucuta-deportivo,col.2
Deportes Quindío,5487,deportes-quindio,col.2
Internacional FC de Palmira,22184,internacional-fc-de-palmira,col.2
Leones,9769,leones,col.2
Llaneros,7915,llaneros,col.2
Orsomarso SC,18156,orsomarso-sc,col.2
Real Cartagena,5479,real-cartagena,col.2
Real Santander,9774,real-santander,col.2
Real Soacha Cundinamarca,21967,real-soacha-cundinamarca,col.2
Tigres,9770,tigres,col.2
Unión Magdalena,17374,union-magdalena,col.2
Atlético FC,17370,atletico-fc,col.copa
Atlético Huila,5482,atletico-huila,col.copa
Barranquilla FC,17373,barranquilla-fc,col.copa
Boca Juniors de Cali,17372,boca-juniors-de-cali,col.copa
Bogotá FC,17371,bogota-fc,col.copa
Bucaramanga,6137,bucaramanga,col.copa
Deportivo Pereira,5486,deportivo-pereira,col.copa
Envigado,5481,envigado,col.copa
Independiente Santa Fe,5488,independiente-santa-fe,col.copa
Jaguares de Córdoba,10309,jaguares-de-cordoba,col.copa
Once Caldas,2919,once-caldas,col.copa
Orsomarso SC,18156,orsomarso-sc,col.copa
Real Santander,9774,real-santander,col.copa
Real Soacha Cundinamarca,21967,real-soacha-cundinamarca,col.copa
Tigres,9770,tigres,col.copa
Unión Magdalena,17374,union-magdalena,col.copa
Alajuelense,2057,alajuelense,concacaf.champions
América,227,america,concacaf.champions
Cavalier SC,18006,cavalier-sc,concacaf.champions
Cavalry FC,22161,cavalry-fc,concacaf.champions
Columbus Crew,183,columbus-crew,concacaf.champions
Comunicaciones,7257,comunicaciones,concacaf.champions
FC Cincinnati,18267,fc-cincinnati,concacaf.champions
Forge FC,20026,forge-fc,concacaf.champions
Guadalajara,219,guadalajara,concacaf.champions
Herediano,862,herediano,concacaf.champions
Houston Dynamo FC,6077,houston-dynamo-fc,concacaf.champions
Independiente de la Chorrera,19352,independiente-de-la-chorrera,concacaf.champions
Inter Miami CF,20232,inter-miami-cf,concacaf.champions
Moca FC,22162,moca-fc,concacaf.champions
Monterrey,220,monterrey,concacaf.champions
Nashville SC,18986,nashville-sc,concacaf.champions
New England Revolution,189,new-england-revolution,concacaf.champions
Orlando City SC,12011,orlando-city-sc,concacaf.champions
Pachuca,234,pachuca,concacaf.champions
Philadelphia Union,10739,philadelphia-union,concacaf.champions
Real Estelí,9945,real-esteli,concacaf.champions
Robinhood,20018,robinhood,concacaf.champions
Saprissa,858,saprissa,concacaf.champions
St. Louis CITY SC,21812,st-louis-city-sc,concacaf.champions
Tigres UANL,232,tigres-uanl,concacaf.champions
Toluca,223,toluca,concacaf.champions
Vancouver Whitecaps,9727,vancouver-whitecaps,concacaf.champions
Aguila,7226,aguila,concacaf.league
Alajuelense,2057,alajuelense,concacaf.league
CD Motagua,7242,cd-motagua,concacaf.league
Malacateco,7870,malacateco,concacaf.league
Municipal,7258,municipal,concacaf.league
Olimpia,884,olimpia,concacaf.league
Pacific FC,21521,pacific-fc,concacaf.league
Platense Zacatecoluca,21092,platense-zacatecoluca,concacaf.league
Real Espana,7245,real-espana,concacaf.league
Real Estelí,9945,real-esteli,concacaf.league
Sporting San Miguelito,21522,sporting-san-miguelito,concacaf.league
Vega Real,21523,vega-real,concacaf.league
Verdes FC,9943,verdes-fc,concacaf.league
Waterhouse,8670,waterhouse,concacaf.league
América,227,america,concacaf.leagues.cup
Atlanta United FC,18418,atlanta-united-fc,concacaf.leagues.cup
Atlas,216,atlas,concacaf.leagues.cup
Atlético de San Luis,15720,atletico-de-san-luis,concacaf.leagues.cup
Austin FC,20906,austin-fc,concacaf.leagues.cup
CF Montréal,9720,cf-montreal,concacaf.leagues.cup
Charlotte FC,21300,charlotte-fc,concacaf.leagues.cup
Chicago Fire FC,182,chicago-fire-fc,concacaf.leagues.cup
Colorado Rapids,184,colorado-rapids,concacaf.leagues.cup
Columbus Crew,183,columbus-crew,concacaf.leagues.cup
Cruz Azul,218,cruz-azul,concacaf.leagues.cup
D.C. United,193,dc-united,concacaf.leagues.cup
FC Cincinnati,18267,fc-cincinnati,concacaf.leagues.cup
FC Dallas,185,fc-dallas,concacaf.leagues.cup
FC Juarez,17851,fc-juarez,concacaf.leagues.cup
Guadalajara,219,guadalajara,concacaf.leagues.cup
Houston Dynamo FC,6077,houston-dynamo-fc,concacaf.leagues.cup
Inter Miami CF,20232,inter-miami-cf,concacaf.leagues.cup
LA Galaxy,187,la-galaxy,concacaf.leagues.cup
LAFC,18966,lafc,concacaf.leagues.cup
León,228,leon,concacaf.leagues.cup
Mazatlán FC,20702,mazatlan-fc,concacaf.leagues.cup
Minnesota United FC,17362,minnesota-united-fc,concacaf.leagues.cup
Monterrey,220,monterrey,concacaf.leagues.cup
Nashville SC,18986,nashville-sc,concacaf.leagues.cup
Necaxa,229,necaxa,concacaf.leagues.cup
New England Revolution,189,new-england-revolution,concacaf.leagues.cup
New York City FC,17606,new-york-city-fc,concacaf.leagues.cup
New York Red Bulls,190,new-york-red-bulls,concacaf.leagues.cup
Orlando City SC,12011,orlando-city-sc,concacaf.leagues.cup
Pachuca,234,pachuca,concacaf.leagues.cup
Philadelphia Union,10739,philadelphia-union,concacaf.leagues.cup
Portland Timbers,9723,portland-timbers,concacaf.leagues.cup
Puebla,231,puebla,concacaf.leagues.cup
Pumas UNAM,233,pumas-unam,concacaf.leagues.cup
Querétaro,222,queretaro,concacaf.leagues.cup
Real Salt Lake,4771,real-salt-lake,concacaf.leagues.cup
San Jose Earthquakes,191,san-jose-earthquakes,concacaf.leagues.cup
Santos,225,santos,concacaf.leagues.cup
Seattle Sounders FC,9726,seattle-sounders-fc,concacaf.leagues.cup
Sporting Kansas City,186,sporting-kansas-city,concacaf.leagues.cup
St. Louis CITY SC,21812,st-louis-city-sc,concacaf.leagues.cup
Tigres UANL,232,tigres-uanl,concacaf.leagues.cup
Tijuana,10125,tijuana,concacaf.leagues.cup
Toluca,223,toluca,concacaf.leagues.cup
Toronto FC,7318,toronto-fc,concacaf.leagues.cup
Vancouver Whitecaps,9727,vancouver-whitecaps,concacaf.leagues.cup
Academia Puerto Cabello,18995,academia-puerto-cabello,conmebol.libertadores
Always Ready,19425,always-ready,conmebol.libertadores
Atlético Nacional,5264,atletico-nacional,conmebol.libertadores
Aurora,6046,aurora,conmebol.libertadores
Botafogo,6086,botafogo,conmebol.libertadores
Colo Colo,2688,colo-colo,conmebol.libertadores
El Nacional,882,el-nacional,conmebol.libertadores
Godoy Cruz Antonio Tomba,6756,godoy-cruz-antonio-tomba,conmebol.libertadores
Nacional,2684,nacional,conmebol.libertadores
Nacional,5584,nacional,conmebol.libertadores
Palestino,4422,palestino,conmebol.libertadores
Portuguesa,6762,portuguesa,conmebol.libertadores
Red Bull Bragantino,6079,red-bull-bragantino,conmebol.libertadores
Rionegro Águilas,9762,rionegro-aguilas,conmebol.libertadores
Sporting Cristal,2673,sporting-cristal,conmebol.libertadores
Trinidense,7466,trinidense,conmebol.libertadores
AD Guanacasteca,20982,ad-guanacasteca,crc.1
Alajuelense,2057,alajuelense,crc.1
Cartagines,7239,cartagines,crc.1
Grecia,18763,grecia,crc.1
Herediano,862,herediano,crc.1
Municipal Liberia,9361,municipal-liberia,crc.1
Perez Zeledon,7234,perez-zeledon,crc.1
Puntarenas,7237,puntarenas,crc.1
San Carlos,859,san-carlos,crc.1
Santos,913,santos,crc.1
Saprissa,858,saprissa,crc.1
Sporting San José,20705,sporting-san-jose,crc.1
AGF Aarhus,7853,agf-aarhus,den.1
Brøndby,575,brøndby,den.1
FC Copenhagen,909,fc-copenhagen,den.1
FC Midtjylland,572,fc-midtjylland,den.1
FC Nordsjaelland,3101,fc-nordsjaelland,den.1
Hvidovre IF,21933,hvidovre-if,den.1
Lyngby,7860,lyngby,den.1
Odense Boldklub,11550,odense-boldklub,den.1
Randers FC,3132,randers-fc,den.1
Silkeborg IF,607,silkeborg-if,den.1
Vejle BK,12498,vejle-bk,den.1
Viborg FF,3153,viborg-ff,den.1
Aucas,6017,aucas,ecu.1
Barcelona SC,2686,barcelona-sc,ecu.1
Cumbayá,21392,cumbaya,ecu.1
Delfín,1011,delfin,ecu.1
Deportivo Cuenca,4812,deportivo-cuenca,ecu.1
El Nacional,882,el-nacional,ecu.1
Emelec,2668,emelec,ecu.1
Imbabura,7422,imbabura,ecu.1
Independiente del Valle,17086,independiente-del-valle,ecu.1
Libertad (Ecuador),21843,libertad-ecuador,ecu.1
Liga de Quito,4816,liga-de-quito,ecu.1
Macará,18439,macara,ecu.1
Mushuc Runa,17176,mushuc-runa,ecu.1
Orense,20695,orense,ecu.1
Técnico Universitario,9292,tecnico-universitario,ecu.1
Universidad Católica (Quito),9283,universidad-catolica-quito,ecu.1
AFC Bournemouth,349,afc-bournemouth,eng.1
Arsenal,359,arsenal,eng.1
Aston Villa,362,aston-villa,eng.1
Brentford,337,brentford,eng.1
Brighton & Hove Albion,331,brighton-hove-albion,eng.1
Burnley,379,burnley,eng.1
Chelsea,363,chelsea,eng.1
Crystal Palace,384,crystal-palace,eng.1
Everton,368,everton,eng.1
Fulham,370,fulham,eng.1
Liverpool,364,liverpool,eng.1
Luton Town,301,luton-town,eng.1
Manchester City,382,manchester-city,eng.1
Manchester United,360,manchester-united,eng.1
Newcastle United,361,newcastle-united,eng.1
Nottingham Forest,393,nottingham-forest,eng.1
Sheffield United,398,sheffield-united,eng.1
Tottenham Hotspur,367,tottenham-hotspur,eng.1
West Ham United,371,west-ham-united,eng.1
Wolverhampton Wanderers,380,wolverhampton-wanderers,eng.1
Birmingham City,392,birmingham-city,eng.2
Blackburn Rovers,365,blackburn-rovers,eng.2
Bristol City,333,bristol-city,eng.2
Cardiff City,347,cardiff-city,eng.2
Coventry City,388,coventry-city,eng.2
Huddersfield Town,335,huddersfield-town,eng.2
Hull City,306,hull-city,eng.2
Ipswich Town,373,ipswich-town,eng.2
Leeds United,357,leeds-united,eng.2
Leicester City,375,leicester-city,eng.2
Middlesbrough,369,middlesbrough,eng.2
Millwall,391,millwall,eng.2
Norwich City,381,norwich-city,eng.2
Plymouth Argyle,307,plymouth-argyle,eng.2
Preston North End,394,preston-north-end,eng.2
Queens Park Rangers,334,queens-park-rangers,eng.2
Rotherham United,402,rotherham-united,eng.2
Sheffield Wednesday,399,sheffield-wednesday,eng.2
Southampton,376,southampton,eng.2
Stoke City,336,stoke-city,eng.2
Sunderland,366,sunderland,eng.2
Swansea City,318,swansea-city,eng.2
Watford,395,watford,eng.2
West Bromwich Albion,383,west-bromwich-albion,eng.2
Barnsley,397,barnsley,eng.3
Blackpool,346,blackpool,eng.3
Bolton Wanderers,358,bolton-wanderers,eng.3
Bristol Rovers,308,bristol-rovers,eng.3
Burton Albion,2567,burton-albion,eng.3
Cambridge United,351,cambridge-united,eng.3
Carlisle United,322,carlisle-united,eng.3
Charlton Athletic,372,charlton-athletic,eng.3
Cheltenham Town,320,cheltenham-town,eng.3
Derby County,374,derby-county,eng.3
Exeter City,324,exeter-city,eng.3
Fleetwood Town,3891,fleetwood-town,eng.3
Leyton Orient,309,leyton-orient,eng.3
Lincoln City,314,lincoln-city,eng.3
Northampton Town,353,northampton-town,eng.3
Oxford United,311,oxford-united,eng.3
Peterborough United,342,peterborough-united,eng.3
Port Vale,348,port-vale,eng.3
Portsmouth,385,portsmouth,eng.3
Reading,338,reading,eng.3
Shrewsbury Town,302,shrewsbury-town,eng.3
Stevenage,285,stevenage,eng.3
Wigan Athletic,350,wigan-athletic,eng.3
Wycombe Wanderers,344,wycombe-wanderers,eng.3
AFC Wimbledon,3802,afc-wimbledon,eng.4
Accrington Stanley,2731,accrington-stanley,eng.4
Barrow,642,barrow,eng.4
Bradford City,387,bradford-city,eng.4
Colchester United,339,colchester-united,eng.4
Crawley Town,2594,crawley-town,eng.4
Crewe Alexandra,396,crewe-alexandra,eng.4
Doncaster Rovers,279,doncaster-rovers,eng.4
Forest Green Rovers,282,forest-green-rovers,eng.4
Gillingham,389,gillingham,eng.4
Grimsby Town,386,grimsby-town,eng.4
Harrogate Town,19262,harrogate-town,eng.4
Mansfield Town,304,mansfield-town,eng.4
Milton Keynes Dons,390,milton-keynes-dons,eng.4
Morecambe,278,morecambe,eng.4
Newport County,635,newport-county,eng.4
Notts County,340,notts-county,eng.4
Salford City,4703,salford-city,eng.4
Stockport County,400,stockport-county,eng.4
Sutton United,3231,sutton-united,eng.4
Swindon Town,341,swindon-town,eng.4
Tranmere Rovers,345,tranmere-rovers,eng.4
Walsall,401,walsall,eng.4
Wrexham,352,wrexham,eng.4
AFC Fylde,13884,afc-fylde,eng.5
Aldershot Town,632,aldershot-town,eng.5
Altrincham,633,altrincham,eng.5
Barnet,280,barnet,eng.5
Boreham Wood,2595,boreham-wood,eng.5
Bromley,3129,bromley,eng.5
Chesterfield,343,chesterfield,eng.5
Dagenham & Redbridge,275,dagenham-redbridge,eng.5
Dorking Wanderers,21582,dorking-wanderers,eng.5
Eastleigh,3897,eastleigh,eng.5
Ebbsfleet United,640,ebbsfleet-united,eng.5
FC Halifax Town,312,fc-halifax-town,eng.5
Gateshead,3138,gateshead,eng.5
Hartlepool United,323,hartlepool-united,eng.5
Kidderminster Harriers,319,kidderminster-harriers,eng.5
Maidenhead United,7156,maidenhead-united,eng.5
Oldham Athletic,332,oldham-athletic,eng.5
Oxford City,4489,oxford-city,eng.5
Rochdale,303,rochdale,eng.5
Solihull Moors,13061,solihull-moors,eng.5
Southend United,310,southend-united,eng.5
Wealdstone,3887,wealdstone,eng.5
Woking,290,woking,eng.5
York City,315,york-city,eng.5
AFC Bournemouth,349,afc-bournemouth,eng.fa
AFC Fylde,13884,afc-fylde,eng.fa
AFC Wimbledon,3802,afc-wimbledon,eng.fa
Accrington Stanley,2731,accrington-stanley,eng.fa
Aldershot Town,632,aldershot-town,eng.fa
Alfreton Town,3165,alfreton-town,eng.fa
Arsenal,359,arsenal,eng.fa
Aston Villa,362,aston-villa,eng.fa
Barnet,280,barnet,eng.fa
Barnsley,397,barnsley,eng.fa
Barrow,642,barrow,eng.fa
Birmingham City,392,birmingham-city,eng.fa
Blackburn Rovers,365,blackburn-rovers,eng.fa
Blackpool,346,blackpool,eng.fa
Bolton Wanderers,358,bolton-wanderers,eng.fa
Boreham Wood,2595,boreham-wood,eng.fa
Bracknell Town,21708,bracknell-town,eng.fa
Bradford City,387,bradford-city,eng.fa
Brentford,337,brentford,eng.fa
Brighton & Hove Albion,331,brighton-hove-albion,eng.fa
Bristol City,333,bristol-city,eng.fa
Bristol Rovers,308,bristol-rovers,eng.fa
Bromley,3129,bromley,eng.fa
Burnley,379,burnley,eng.fa
Burton Albion,2567,burton-albion,eng.fa
Cambridge United,351,cambridge-united,eng.fa
Cardiff City,347,cardiff-city,eng.fa
Carlisle United,322,carlisle-united,eng.fa
Charlton Athletic,372,charlton-athletic,eng.fa
Chelsea,363,chelsea,eng.fa
Cheltenham Town,320,cheltenham-town,eng.fa
Chesham United,4181,chesham-united,eng.fa
Chester FC,292,chester-fc,eng.fa
Chesterfield,343,chesterfield,eng.fa
Colchester United,339,colchester-united,eng.fa
Coventry City,388,coventry-city,eng.fa
Crawley Town,2594,crawley-town,eng.fa
Cray Valley Paper Mills,20773,cray-valley-paper-mills,eng.fa
Crewe Alexandra,396,crewe-alexandra,eng.fa
Crystal Palace,384,crystal-palace,eng.fa
Curzon Ashton,10182,curzon-ashton,eng.fa
Derby County,374,derby-county,eng.fa
Doncaster Rovers,279,doncaster-rovers,eng.fa
Eastleigh,3897,eastleigh,eng.fa
Everton,368,everton,eng.fa
Exeter City,324,exeter-city,eng.fa
Fleetwood Town,3891,fleetwood-town,eng.fa
Forest Green Rovers,282,forest-green-rovers,eng.fa
Fulham,370,fulham,eng.fa
Gateshead,3138,gateshead,eng.fa
Gillingham,389,gillingham,eng.fa
Grimsby Town,386,grimsby-town,eng.fa
Harrogate Town,19262,harrogate-town,eng.fa
Hereford F.C.,18885,hereford-fc,eng.fa
Horsham,8706,horsham,eng.fa
Huddersfield Town,335,huddersfield-town,eng.fa
Hull City,306,hull-city,eng.fa
Ipswich Town,373,ipswich-town,eng.fa
Kidderminster Harriers,319,kidderminster-harriers,eng.fa
Leeds United,357,leeds-united,eng.fa
Leicester City,375,leicester-city,eng.fa
Leyton Orient,309,leyton-orient,eng.fa
Lincoln City,314,lincoln-city,eng.fa
Liverpool,364,liverpool,eng.fa
Luton Town,301,luton-town,eng.fa
Maidenhead United,7156,maidenhead-united,eng.fa
Maidstone United,3110,maidstone-united,eng.fa
Manchester City,382,manchester-city,eng.fa
Manchester United,360,manchester-united,eng.fa
Mansfield Town,304,mansfield-town,eng.fa
Marine,20771,marine,eng.fa
Middlesbrough,369,middlesbrough,eng.fa
Millwall,391,millwall,eng.fa
Milton Keynes Dons,390,milton-keynes-dons,eng.fa
Morecambe,278,morecambe,eng.fa
Newcastle United,361,newcastle-united,eng.fa
Newport County,635,newport-county,eng.fa
Northampton Town,353,northampton-town,eng.fa
Norwich City,381,norwich-city,eng.fa
Nottingham Forest,393,nottingham-forest,eng.fa
Notts County,340,notts-county,eng.fa
Oldham Athletic,332,oldham-athletic,eng.fa
Oxford United,311,oxford-united,eng.fa
Peterborough United,342,peterborough-united,eng.fa
Plymouth Argyle,307,plymouth-argyle,eng.fa
Port Vale,348,port-vale,eng.fa
Portsmouth,385,portsmouth,eng.fa
Preston North End,394,preston-north-end,eng.fa
Queens Park Rangers,334,queens-park-rangers,eng.fa
Ramsgate,3651,ramsgate,eng.fa
Reading,338,reading,eng.fa
Rotherham United,402,rotherham-united,eng.fa
Salford City,4703,salford-city,eng.fa
Scarborough Athletic,22090,scarborough-athletic,eng.fa
Sheffield United,398,sheffield-united,eng.fa
Sheffield Wednesday,399,sheffield-wednesday,eng.fa
Sheppey United,22091,sheppey-united,eng.fa
Shrewsbury Town,302,shrewsbury-town,eng.fa
Slough Town,3806,slough-town,eng.fa
Solihull Moors,13061,solihull-moors,eng.fa
Southampton,376,southampton,eng.fa
Stevenage,285,stevenage,eng.fa
Stockport County,400,stockport-county,eng.fa
Stoke City,336,stoke-city,eng.fa
Sunderland,366,sunderland,eng.fa
Sutton United,3231,sutton-united,eng.fa
Swansea City,318,swansea-city,eng.fa
Swindon Town,341,swindon-town,eng.fa
Tottenham Hotspur,367,tottenham-hotspur,eng.fa
Tranmere Rovers,345,tranmere-rovers,eng.fa
Walsall,401,walsall,eng.fa
Watford,395,watford,eng.fa
West Bromwich Albion,383,west-bromwich-albion,eng.fa
West Ham United,371,west-ham-united,eng.fa
Whitby Town,22089,whitby-town,eng.fa
Wigan Athletic,350,wigan-athletic,eng.fa
Woking,290,woking,eng.fa
Wolverhampton Wanderers,380,wolverhampton-wanderers,eng.fa
Worksop Town,22079,worksop-town,eng.fa
Worthing,21253,worthing,eng.fa
Wrexham,352,wrexham,eng.fa
Wycombe Wanderers,344,wycombe-wanderers,eng.fa
Yeovil Town,284,yeovil-town,eng.fa
York City,315,york-city,eng.fa
AFC Bournemouth,349,afc-bournemouth,eng.league_cup
AFC Wimbledon,3802,afc-wimbledon,eng.league_cup
Accrington Stanley,2731,accrington-stanley,eng.league_cup
Arsenal,359,arsenal,eng.league_cup
Aston Villa,362,aston-villa,eng.league_cup
