Team Name,Team ID,Team Name Link,League Code
Gimnasia y Esgrima (Jujuy),5263,gimnasia-y-esgrima-jujuy,arg.2
Gimnasia y Tiro (Salta),10743,gimnasia-y-tiro-salta,arg.2
Guillermo Brown,11674,guillermo-brown,arg.2
Güemes,18284,guemes,arg.2
Mitre (Santiago del Estero),11990,mitre-santiago-del-estero,arg.2
Nueva Chicago,236,nueva-chicago,arg.2
Patronato,10374,patronato,arg.2
Quilmes,2741,quilmes,arg.2
Racing (Córdoba),19145,racing-cordoba,arg.2
San Martín (San Juan),7845,san-martin-san-juan,arg.2
San Martín (Tucumán),17814,san-martin-tucuman,arg.2
San Miguel,10058,san-miguel,arg.2
San Telmo,10157,san-telmo,arg.2
Talleres,10161,talleres,arg.2
Temperley,10162,temperley,arg.2
Tristán Suárez,10163,tristan-suarez,arg.2
Acassuso,10145,acassuso,arg.3
Argentino (Merlo),17700,argentino-merlo,arg.3
Argentino de Quilmes,17693,argentino-de-quilmes,arg.3
Cañuelas,10046,canuelas,arg.3
Colegiales,10149,colegiales,arg.3
Comunicaciones,14074,comunicaciones,arg.3
Deportivo Armenio,10152,deportivo-armenio,arg.3
Deportivo Laferrere,17695,deportivo-laferrere,arg.3
Deportivo Merlo,17704,deportivo-merlo,arg.3
Dock Sud,10103,dock-sud,arg.3
Excursionistas,10054,excursionistas,arg.3
Flandria,10156,flandria,arg.3
Fénix,10053,fenix,arg.3
Liniers,10107,liniers,arg.3
Los Andes,13,los-andes,arg.3
Midland,10109,midland,arg.3
Sacachispas,10051,sacachispas,arg.3
San Martín (Burzaco),17692,san-martin-burzaco,arg.3
Sportivo Italiano,17703,sportivo-italiano,arg.3
UAI Urquiza,17705,uai-urquiza,arg.3
Villa Dálmine,10064,villa-dalmine,arg.3
Villa San Carlos,10052,villa-san-carlos,arg.3
Argentino (Rosario),10048,argentino-rosario,arg.4
Atlas,10099,atlas,arg.4
Berazategui,17349,berazategui,arg.4
Cambaceres,17694,cambaceres,arg.4
Central Ballester,10100,central-ballester,arg.4
Central Córdoba (Rosario),10148,central-cordoba-rosario,arg.4
Centro Español,10101,centro-espanol,arg.4
Claypole,10102,claypole,arg.4
Deportivo Español,17701,deportivo-espanol,arg.4
Deportivo Paraguayo,10110,deportivo-paraguayo,arg.4
El Porvenir,10061,el-porvenir,arg.4
General Lamadrid,17699,general-lamadrid,arg.4
Ituzaingó,10105,ituzaingo,arg.4
JJ Urquiza,17696,jj-urquiza,arg.4
Juventud Unida,17698,juventud-unida,arg.4
Leandro N. Alem,17708,leandro-n-alem,arg.4
Lugano,623,lugano,arg.4
Luján,6499,lujan,arg.4
Mercedes,21500,mercedes,arg.4
Muñiz,17707,muniz,arg.4
Puerto Nuevo,10111,puerto-nuevo,arg.4
Real Pilar,18844,real-pilar,arg.4
